QuestionID,Question,AnswerOption,BlurbVariant1,BlurbVariant2,BlurbVariant3
Q2,How much help does [name] need with daily activities overall?,None – fully independent,You're thriving on your own—great to see that independence shining!,Being fully independent is a strong foundation for any care plan.,No help needed? That’s awesome—let’s keep you in control.
Q2,How much help does [name] need with daily activities overall?,Occasional – some help with a few tasks,A little help here and there keeps things smooth—nice work!,Needing occasional support is common and easy to manage.,Just a bit of help? You’re still running the show—let’s plan smart.
Q2,How much help does [name] need with daily activities overall?,Regular – needs daily assistance,Daily help shows a solid support system—let’s build on that!,Regular assistance is a sign you’re covering the bases well.,Needing daily support is real—let’s find a setup that fits your routine.
Q2,How much help does [name] need with daily activities overall?,Extensive – needs full-time support,Full-time help means a strong team’s in place—let’s make it sustainable!,Extensive support keeps things safe—we’ll tailor a plan for that.,Round-the-clock care is a big lift—let’s explore options to ease the load.
Q3,BADLs — Bathing/Showering: current level of assistance,Independent,You’re handling bathing like a champ—total independence there!,No help with showering? That’s a big win for staying on your own.,Fully independent in bathing keeps your options wide open.
Q3,BADLs — Bathing/Showering: current level of assistance,Some help,A touch of help with bathing is no big deal—easy to manage!,Some support for showering is common—let’s keep it simple.,Needing a bit of help with bathing? We’ll find ways to make it smooth.
Q3,BADLs — Bathing/Showering: current level of assistance,Daily help,Daily help with bathing shows you’ve got support—let’s optimize it!,Regular assistance for showering keeps things safe and steady.,Daily bathing support is important—let’s ensure it’s reliable and comfortable.
Q3,BADLs — Bathing/Showering: current level of assistance,Full assistance,Full help with bathing means safety first—great to prioritize that!,Needing complete support for showering calls for a strong care plan.,Full bathing assistance is a big need—let’s find a setting that delivers.
Q3,BADLs — Dressing: current level of assistance,Independent,You’re dressing on your own—keeping that independence strong!,No help needed with dressing? That’s a solid step toward freedom.,Fully handling dressing keeps life flexible and in your control.
Q3,BADLs — Dressing: current level of assistance,Some help,A little help with dressing is easy to work around—nice job!,Some support for dressing is no issue—let’s keep things manageable.,Needing a hand with clothes? We’ll find simple solutions to support you.
Q3,BADLs — Dressing: current level of assistance,Daily help,Daily dressing help shows a team effort—let’s make it seamless!,Regular support for dressing keeps things on track—good call.,Daily help with clothes is a key need—let’s plan for steady support.
Q3,BADLs — Dressing: current level of assistance,Full assistance,Full dressing support means you’re covered—let’s keep it reliable!,Needing complete help with dressing points to structured care.,Full assistance with clothes is significant—let’s explore the best options.
Q3,BADLs — Eating: current level of assistance,Independent,Eating on your own is a big win—keep that strength going!,No help with meals? That’s a great sign of independence.,Fully managing eating keeps your daily routine flexible and strong.
Q3,BADLs — Eating: current level of assistance,Some help,A bit of help with eating is no problem—easy to handle!,Some support for meals is common—let’s make it work smoothly.,Need a hand with eating? We’ll find ways to keep it simple and safe.
Q3,BADLs — Eating: current level of assistance,Daily help,Daily help with eating shows good support—let’s keep it steady!,Regular meal assistance is important—let’s ensure it’s consistent.,Daily eating support matters—let’s plan for reliable help.
Q3,BADLs — Eating: current level of assistance,Full assistance,Full help with eating prioritizes safety—great focus!,Complete meal support calls for a solid care setup.,Full eating assistance is a key need—let’s find the right care environment.
Q3,BADLs — Toileting: current level of assistance,Independent,Handling toileting on your own is huge—total independence there!,No help needed for toileting? That’s a major strength.,Fully independent in toileting keeps your options wide open.
Q3,BADLs — Toileting: current level of assistance,Some help,A little toileting help is manageable—nice to have that support!,Some assistance with toileting is common—let’s keep it safe.,Need a bit of help in the bathroom? We’ll ensure it’s handled smoothly.
Q3,BADLs — Toileting: current level of assistance,Daily help,Daily toileting support shows a strong safety net—let’s build on it!,Regular help with toileting keeps things secure—good call.,Daily bathroom assistance is critical—let’s plan for steady support.
Q3,BADLs — Toileting: current level of assistance,Full assistance,Full toileting help means safety first—let’s make it sustainable!,Complete bathroom support points to a structured care plan.,Full toileting assistance is a big need—let’s find a safe setting.
Q3,BADLs — Transferring: current level of assistance,Independent,Moving around on your own is awesome—keep that mobility strong!,No help with transferring? That’s a big win for independence.,Fully managing transfers keeps life flexible and in your control.
Q3,BADLs — Transferring: current level of assistance,Some help,A bit of help with moving is no issue—easy to manage!,Some support for transferring is common—let’s keep it safe.,Need a hand getting around? We’ll find simple solutions to support you.
Q3,BADLs — Transferring: current level of assistance,Daily help,Daily help with transfers shows a solid team—let’s optimize it!,Regular support for moving keeps safety first—great work.,Daily transferring assistance is key—let’s ensure reliable help.
Q3,BADLs — Transferring: current level of assistance,Full assistance,Full help with transfers prioritizes safety—let’s keep it steady!,Complete support for moving calls for a strong care setup.,Full transferring assistance is significant—let’s find the right environment.
Q3,BADLs — Personal Hygiene: current level of assistance,Independent,You’re handling hygiene like a pro—great independence!,No help with hygiene? That’s a solid step toward freedom.,Fully managing personal hygiene keeps your routine strong.
Q3,BADLs — Personal Hygiene: current level of assistance,Some help,A little hygiene help is no big deal—easy to work around!,Some support for grooming is common—let’s keep it simple.,Need a bit of help with hygiene? We’ll make it smooth and comfortable.
Q3,BADLs — Personal Hygiene: current level of assistance,Daily help,Daily hygiene support shows a team effort—let’s make it seamless!,Regular grooming help keeps things on track—good call.,Daily hygiene assistance matters—let’s plan for steady support.
