QuestionID,Section,Question,Domain,AnswerOption,ScoreValue,DomainWeight,FlagsEmitted,GatingLogic,Notes
Q1,Start,Are you currently on Medicaid (state long-term care assistance, not Medicare)?,Funding,Yes,0,0,medicaid_yes,,If Yes → Exit to external Medicaid resources; does not impact tier.
Q1,Start,Are you currently on Medicaid (state long-term care assistance, not Medicare)?,Funding,No,0,0,medicaid_no,,Proceed to next section.
Q2,Daily Life & Support,How much help does [name] need with daily activities overall?,ADL/IADL Burden,None – fully independent,0,3,,If "None – fully independent" ⇒ skip Q3 & Q4,Primary burden indicator; drives gating to detailed ADLs.
Q2,Daily Life & Support,How much help does [name] need with daily activities overall?,ADL/IADL Burden,Occasional – some help with a few tasks,1,3,,If "None – fully independent" ⇒ skip Q3 & Q4,Primary burden indicator; drives gating to detailed ADLs.
Q2,Daily Life & Support,How much help does [name] need with daily activities overall?,ADL/IADL Burden,Regular – needs daily assistance,2,3,,If "None – fully independent" ⇒ skip Q3 & Q4,Primary burden indicator; drives gating to detailed ADLs.
Q2,Daily Life & Support,How much help does [name] need with daily activities overall?,ADL/IADL Burden,Extensive – needs full-time support,3,3,,If "None – fully independent" ⇒ skip Q3 & Q4,Primary burden indicator; drives gating to detailed ADLs.
Q3,Daily Life & Support,BADLs — Bathing/Showering: current level of assistance,ADL/IADL Burden,Independent,0,3,,Show only if Q2 ≠ "None – fully independent",Critical for health/safety; higher weight.
Q3,Daily Life & Support,BADLs — Bathing/Showering: current level of assistance,ADL/IADL Burden,Some help,1,3,,Show only if Q2 ≠ "None – fully independent",Critical for health/safety; higher weight.
Q3,Daily Life & Support,BADLs — Bathing/Showering: current level of assistance,ADL/IADL Burden,Daily help,2,3,,Show only if Q2 ≠ "None – fully independent",Critical for health/safety; higher weight.
Q3,Daily Life & Support,BADLs — Bathing/Showering: current level of assistance,ADL/IADL Burden,Full assistance,3,3,,Show only if Q2 ≠ "None – fully independent",Critical for health/safety; higher weight.
Q3,Daily Life & Support,BADLs — Dressing: current level of assistance,ADL/IADL Burden,Independent,0,2,,Show only if Q2 ≠ "None – fully independent",Less critical; capped at 2.
Q3,Daily Life & Support,BADLs — Dressing: current level of assistance,ADL/IADL Burden,Some help,1,2,,Show only if Q2 ≠ "None – fully independent",Less critical; capped at 2.
Q3,Daily Life & Support,BADLs — Dressing: current level of assistance,ADL/IADL Burden,Daily help,2,2,,Show only if Q2 ≠ "None – fully independent",Less critical; capped at 2.
Q3,Daily Life & Support,BADLs — Dressing: current level of assistance,ADL/IADL Burden,Full assistance,2,2,,Show only if Q2 ≠ "None – fully independent",Less critical; capped at 2.
Q3,Daily Life & Support,BADLs — Eating: current level of assistance,ADL/IADL Burden,Independent,0,2,,Show only if Q2 ≠ "None – fully independent",Less critical; capped at 2.
Q3,Daily Life & Support,BADLs — Eating: current level of assistance,ADL/IADL Burden,Some help,1,2,,Show only if Q2 ≠ "None – fully independent",Less critical; capped at 2.
Q3,Daily Life & Support,BADLs — Eating: current level of assistance,ADL/IADL Burden,Daily help,2,2,,Show only if Q2 ≠ "None – fully independent",Less critical; capped at 2.
Q3,Daily Life & Support,BADLs — Eating: current level of assistance,ADL/IADL Burden,Full assistance,2,2,,Show only if Q2 ≠ "None – fully independent",Less critical; capped at 2.
Q3,Daily Life & Support,BADLs — Toileting: current level of assistance,ADL/IADL Burden,Independent,0,3,,Show only if Q2 ≠ "None – fully independent",Critical for health/safety; higher weight.
Q3,Daily Life & Support,BADLs — Toileting: current level of assistance,ADL/IADL Burden,Some help,1,3,,Show only if Q2 ≠ "None – fully independent",Critical for health/safety; higher weight.
Q3,Daily Life & Support,BADLs — Toileting: current level of assistance,ADL/IADL Burden,Daily help,2,3,,Show only if Q2 ≠ "None – fully independent",Critical for health/safety; higher weight.
Q3,Daily Life & Support,BADLs — Toileting: current level of assistance,ADL/IADL Burden,Full assistance,3,3,,Show only if Q2 ≠ "None – fully independent",Critical for health/safety; higher weight.
Q3,Daily Life & Support,BADLs — Transferring: current level of assistance,ADL/IADL Burden,Independent,0,3,,Show only if Q2 ≠ "None – fully independent",Critical for health/safety; higher weight.
